league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2223,Brighton,Adam Webster,1,2022,220,7699,D S,27,2000,0,1.5340027026832104,0,1.5340027026832104,0,0.5189482178539038,18,6,2,0,9.7150968182832,9.189998405054212
ENG-Premier League,2223,Brighton,Alexis Mac Allister,1,2022,220,8379,M S,35,2882,10,11.532242968678474,4,6.965230006724596,2,3.928120201453567,86,47,8,0,19.9106729477644,12.656914940103889
ENG-Premier League,2223,Brighton,Andrew Moran,1,2022,220,11193,S,1,9,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0754638016223907,0.0754638016223907
ENG-Premier League,2223,Brighton,Billy Gilmour,1,2022,220,7988,M S,14,515,0,0.3644320666790008,0,0.3644320666790008,1,0.3617988973855972,6,2,1,0,4.023554973304272,3.337106022983789
ENG-Premier League,2223,Brighton,Cameron Peupion,1,2022,220,11544,S,1,1,0,0.0536134205758571,0,0.0536134205758571,0,0.0,1,0,0,0,0.0,0.0
ENG-Premier League,2223,Brighton,Danny Welbeck,1,2022,220,501,F S,31,1868,6,9.550176788121462,6,9.550176788121462,3,5.098056230694056,62,30,0,0,16.103102758526802,5.398822439834476
ENG-Premier League,2223,Brighton,Deniz Undav,1,2022,220,10804,F M S,22,594,5,5.5473707262426615,5,5.5473707262426615,0,1.1680052187293768,27,8,2,0,7.276752598583698,1.4865605253726244
ENG-Premier League,2223,Brighton,Enock Mwepu,1,2022,220,9734,F M S,6,205,0,0.0766704007983207,0,0.0766704007983207,1,0.4522641953080892,2,3,0,0,1.0331942196935415,0.653810178861022
ENG-Premier League,2223,Brighton,Estupiñán,1,2022,220,5136,D S,35,2707,1,2.3249325277283788,1,2.3249325277283788,5,5.642439822666347,30,50,4,0,18.086723536252972,12.671537213027475
ENG-Premier League,2223,Brighton,Evan Ferguson,1,2022,220,10177,F S,19,950,6,5.667327303439379,6,5.667327303439379,2,0.6870213840156794,36,11,1,0,8.419608421623707,2.7216656310483813
ENG-Premier League,2223,Brighton,Facundo Buonanotte,1,2022,220,11362,M S,13,553,1,1.0888761393725872,1,1.0888761393725872,1,0.5841287039220333,11,6,2,0,2.5363862570375204,1.5511467922478914
ENG-Premier League,2223,Brighton,Jack Hinshelwood,1,2022,220,11269,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2223,Brighton,Jan Paul van Hecke,1,2022,220,10807,D S,8,288,0,0.5538489818572998,0,0.5538489818572998,0,0.0,2,0,2,0,0.2988718040287494,0.2795934043824672
ENG-Premier League,2223,Brighton,Jason Steele,1,2022,220,7235,GK,15,1350,0,0.0,0,0.0,1,0.1888159960508346,0,1,1,0,2.5362304002046585,2.347414404153824
ENG-Premier League,2223,Brighton,Jeremy Sarmiento,1,2022,220,10036,M S,9,156,0,0.2745006997138262,0,0.2745006997138262,1,0.2008139938116073,5,2,1,0,1.288041802123189,0.812727190554142
ENG-Premier League,2223,Brighton,Joël Veltman,1,2022,220,8780,D S,31,2215,1,1.341551687568426,1,1.341551687568426,1,1.0200357679277658,14,10,6,0,10.263392875902356,9.933882373385131
ENG-Premier League,2223,Brighton,Julio Enciso,1,2022,220,11058,F M S,20,798,4,4.214253352954984,4,4.214253352954984,2,1.779839888215065,38,13,1,0,8.684670090675354,2.9589081732556224
ENG-Premier League,2223,Brighton,Kaoru Mitoma,1,2022,220,10806,D M S,33,2306,7,9.245785741135478,7,9.245785741135478,5,7.035773795098066,52,40,0,0,21.043237909674644,9.100571872666478
ENG-Premier League,2223,Brighton,Levi Colwill,1,2022,220,10805,D S,17,1213,0,1.5830463785678148,0,1.5830463785678148,2,0.6098756808787584,8,7,1,0,5.231132447719574,4.788313198834658
ENG-Premier League,2223,Brighton,Lewis Dunk,1,2022,220,6048,D,36,3240,1,2.040725097060204,1,2.040725097060204,0,0.8655232125893235,22,9,4,0,14.347089774906635,14.096927545964718
ENG-Premier League,2223,Brighton,Moisés Caicedo,1,2022,220,9453,D M S,37,3135,1,1.2356434240937233,1,1.2356434240937233,1,2.643754145130515,27,43,10,0,19.323802459985014,16.51605893112719
ENG-Premier League,2223,Brighton,Odeluga Offiah,1,2022,220,10453,S,2,17,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0801775380969047,0.0801775380969047
ENG-Premier League,2223,Brighton,Pascal Groß,1,2022,220,239,D F M,37,3261,9,5.954401790164411,9,5.954401790164411,8,11.246030485257506,40,80,6,0,25.252408916130666,15.00836755335331
ENG-Premier League,2223,Brighton,Robert Sánchez,1,2022,220,9098,GK,23,2070,0,0.0,0,0.0,0,0.0,0,0,2,0,2.587134573608637,2.587134573608637
ENG-Premier League,2223,Brighton,Solly March,1,2022,220,6049,D M S,33,2745,6,8.069857582449913,6,8.069857582449913,7,9.567008880898356,73,65,2,0,22.130394473671917,9.125229258090258
ENG-Premier League,2223,Brighton,Tariq Lamptey,1,2022,220,8226,D S,20,414,0,0.2084955014288425,0,0.2084955014288425,0,0.1961832959204912,5,4,1,0,2.6817909218370914,2.4700611047446728
ENG-Premier League,2223,Brighton,Yasin Ayari,1,2022,220,11385,M S,3,59,0,0.0128233004361391,0,0.0128233004361391,0,0.2380980178713798,1,2,0,0,0.3362570181488991,0.2269130051136016
ENG-Premier League,2223,Chelsea,Armando Broja,1,2022,80,8384,F S,12,266,1,0.8572464846074581,1,0.8572464846074581,0,0.0866743996739387,6,1,0,0,0.8978355824947357,0.0
ENG-Premier League,2223,Chelsea,Ben Chilwell,1,2022,80,782,D S,23,1418,2,1.465110638178885,2,1.465110638178885,2,1.9936782559379933,16,21,3,0,4.494038670323789,3.5327052902430296
